rank,artist_id,artist_name,similarity_score
1,3452247c-719a-4a77-8d98-bf55becb449a,Timecop1983,0.9999998211860657
2,f7162d10-a087-46db-b6c8-6021d9c2bf4d,Miami Nights 1984,0.9062638878822327
3,46eb0fb7-9725-43af-97d7-6c717682a799,The Midnight,0.8997469544410706
4,e293b522-0bea-4dd6-af95-db0f9649293f,Wice,0.8964709639549255
5,74d78e57-96fd-408f-bccd-12dfdb8a0176,Kalax,0.8739119172096252
6,6bf781e5-b984-4b0a-8373-466aa49e1f27,Neon Nox,0.8690768480300903
7,571fb58d-b957-4cfc-8c7d-5cbf13519227,Waveshaper,0.8652981519699097
8,cf4eab9f-c584-48eb-b115-5b3148535ab9,Dynatron,0.8648243546485901
9,df1356d3-3c66-48bc-ac79-475c6cf76266,GUNSHIP,0.8639014959335327
10,5a2b9dd6-b605-4f90-9b08-fa4f54e40330,Mitch Murder,0.8586026430130005
11,516b7171-d5dd-4fe4-9649-ca90cc3a755f,Le Matos,0.8516561388969421
12,4fbf6628-e839-457d-b989-fa1ad535ff9d,Droid Bishop,0.8468986749649048
13,cf51b298-c8c1-4480-951b-2a4740693518,W O L F C L U B,0.8462620377540588
14,20e17bb3-4b34-48d3-bc35-d8e6638e3b4d,Daniel Deluxe,0.8423423767089844
15,5e114cdf-10f8-4d0b-a974-4b86491b1c7e,Trevor Something,0.841231644153595
16,e342f708-9b62-42b9-a59a-9afff7620da0,Power Glove,0.8395417332649231
17,1bc76772-45fe-4f14-92b5-c4f9ff567fcf,FM-84,0.8357887268066406
18,"3452247c-719a-4a77-8d98-bf55becb449a,dde73741-594c-4ec7-bc32-24e120dcc03d",Unknown Artist,0.8303696513175964
19,170ab39b-3863-45b4-89ef-13d019deaa4f,Scandroid,0.8294851183891296
20,b9e46d1a-9068-4615-9200-90b3d5eae68b,Lazerhawk,0.8257026076316833
